Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
material of the entrance door|door=yes, entrance=yes, material=adobe, material=andesite, material=bamboo, material=brass, material=brick, material=bronze, material=cement_block, material=concrete, material=glass, material=granite, material=limestone, material=masonry, material=metal, material=metal_plates, material=mirror, material=mud, material=palm_leaves, material=plaster, material=plastic, material=rammed_earth, material=reinforced_concrete, material=sand_cement_blocks, material=sandstone, material=silicate brick, material=slate, material=soil, material=steel, material=stone, material=tiles, material=timber_frayming, material=wood, material=vinyl||Building characteristics|Doorways|material of the entrance door|||Entrance#door, EquipmentProperties#door
material of the floor|material=adobe, material=andesite, material=bamboo, material=brass, material=brick, material=bronze, material=cement_block, material=concrete, material=glass, material=granite, material=limestone, material=masonry, material=metal, material=metal_plates, material=mirror, material=mud, material=palm_leaves, material=plaster, material=plastic, material=rammed_earth, material=reinforced_concrete, material=sand_cement_blocks, material=sandstone, material=silicate brick, material=slate, material=soil, material=steel, material=stone, material=tiles, material=timber_frayming, material=wood, material=vinyl||Building characteristics|Floor (pathway)|material [1]|||
materiality of wall|material=adobe, material=andesite, material=bamboo, material=brass, material=brick, material=bronze, material=cement_block, material=concrete, material=glass, material=granite, material=limestone, material=masonry, material=metal, material=metal_plates, material=mirror, material=mud, material=palm_leaves, material=plaster, material=plastic, material=rammed_earth, material=reinforced_concrete, material=sand_cement_blocks, material=sandstone, material=silicate brick, material=slate, material=soil, material=steel, material=stone, material=tiles, material=timber_frayming, material=wood, material=vinyl, wall=yes||Building characteristics|Wall|materiality|||
max height of the front of lavatory or counter surface, whichever is higher in toilet / toilet compartment|amenity=toilets, building=toilets, height=user defined, room=toilet, toilets=yes|counter=yes, lavatory=yes, maximum_height=user defined|Facility daily needs|Toilet / toilet compartment|lavatories|max height of the front of lavatory or counter surface, whichever is higher||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowHeight
maximum indoor level|max_level=5|||||||
maximum time you are allowed to stay is 30 minutes|maxstay=30 minutes|||||||
maximum time you are allowed to stay somewhere|maxstay=user defined|||||||
mechanical switch|switch=mechanical|||||||
media|room=media|||||||Media#hasContrastingBackground, Media#hasPlainLanguageOption, Media#hasRealTimeCaptioning, Media#hasSubtitles, Media#isAudio, Media#isBraille, Media#isLargePrint, Media#languages, Media#name, Media#turningSpaceInFront, Media#type
media has contrasting background|room=media|high_contrast=yes||||||Media#hasContrastingBackground
media has dedicated screen for subtitles|room=yes|subtitle=screen||||||Media#hasDedicatedScreenForSubtitles, Media#hasRealTimeCaptioning
media has plain language option|room=media|plain:lg=yes||||||Media#hasPlainLanguageOption
media has real time captioning|real_time_information=yes, room=media|||||||Media#hasRealTimeCaptioning
media has subtitles|room=media|subtitle:lg=yes||||||Media#hasSubtitles
media is audio|audio=yes, room=media|amenity=media, type=audio||||||Media#isAudio
media is braille|braille=yes, room=media, tactile_writing:braille:lg=no, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=no, tactile_writing:computer_braille:lg=yes|amenity=media, media=braille||||||Media#isBraille
media is large print|room=media|print=large||||||Media#isLargePrint
media languages|description:lg=user defined, speech_input:lg=no, speech_input:lg=yes, speech_output:lg=no, speech_output:lg=yes|audio:lg=yes, print:lg=yes, video:lg=yes||||||Media#languages
media name|name=user defined, room=media|amenity=media||||||Media#name
media turning space in front|room=media|clear_floor_space=yes||||||Media#turningSpaceInFront
media type|room=media|amenity=media, type=audio, type=print,type=user defined, type=video||||||Media#type
medical facility, with more staff than a doctor's office, that does not admit inpatients|healthcare=clinic|||||||
medical rehabilitation facility, usually inpatient or residential|healthcare=rehabilitation|||||||
menagerie|room=menagerie|||||||
mercury-vapor lamp|light:method=mercury|||||||
metal front, flat or in waves|floor:material=metal|||||||
metal grid as surface|surface=metal_grid|||||||
metal surface|surface=metal|||||||
metal_halide lamp|light:method=metal_halide|||||||
microphone system||microphone=system, microphone=yes|General help for orientation / Technical assistance|Technology|microphone system|||
mill designed to crush or bruise oil-bearing seeds, such as linseed or peanuts, or other oil-rich vegetable material|craft=oil_mill|||||||
minimum corridor / floor (pathway) width in cm|highway=corridor, highway=footway, highway=path, width=user defined|minimum_width=user defined|Building characteristics|Floor (pathway)|dimension [10]|min corridor width in cm||Pathways#width, Pathways#widthAtObstacles
minimum indoor level|min_level=-1|||||||
minimum stair walking width in cm|highway=steps, room=stairs, stairs=yes, width=user defined|minimum_width=user defined|Change Elevation|Stairs|dimension [3]|min. walking width in cm||Pathways#width, Pathways#widthAtObstacles
mirror height from ground|height=user defined, material=mirror|||||||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated
mirror height in toilet / toilet compartment|amenity=toiltets, building=toilets, height=user defined, material=mirror, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|mirror height||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated, Mirror#isLocatedInsideRestroom, Restroom#hasMirror, Restroom#mirror, Restroom#toilet
mirror in relaxation room|material=mirror, room=relaxation||Facility daily needs|Relaxation room|mirror [2]|||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated
mirror in toilet / toilet compartment|amenity=toilets, building=toilets, material=mirror, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|mirror [1]|||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated, Mirror#isLocatedInsideRestroom, Restroom#hasMirror, Restroom#mirror, Restroom#toilet
mirror in toilet / toilet compartment is accessible; accessible: tiltable; accessible: full height (mirror-UK on washbasin-OK); not accessible|access=no, access=yes, access:disabled=yes, amenity=toilets, building=tilets, material=mirror, room=toilet, toilets=yes|mirror=full_height, mirror:movable=tilt|Facility daily needs|Toilet / toilet compartment|mirror [1]|accessible; accessible: tiltable; accessible: full height (mirror-UK on washbasin-OK); not accessible|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Mirror#heightFromGround, Mirror#isAccessibleWhileSeated, Mirror#isLocatedInsideRestroom, PlaceInfo#accessibility, Restroom#hasMirror, Restroom#mirror, Restroom#toilet, Restroom#washBasin, WashBasin#accessibleWithWheelchair, WashBasin#isLocatedInsideRestroom
mirror is accessible while seated|material=mirror|mirror=full_height, mirror:seated=yes||||||Mirror#isAccessibleWhileSeated, PlaceInfo#accessibility
missing push button on a pedestrian crossing with an tactile arrow on top|traffic_signals:arrow=no|||||||
mist fountain|fountain=mist|||||||
mixture of high and low relief|artwork_type=relief|||||||
mobile home permanently left on a single site|building=static_caravan|||||||
model of buildings and surroundings that can be explored with fingers|information=tactile_model||General help for orientation / Technical assistance|Plan|type [12]|scale model of indoor area||
monitoring|room=monitoring|||||||
monochromatic light source with a given wavelength|light:colour=560 nm|||||||
mostly soft track|tracktype=grade4|||||||
mostly solid track|tracktype=grade3|||||||
motion sensor|sensor:type=motion|||||||
motor pool|room=motor pool|||||||
mountain rescue base for a team providing search and rescue services in mountainous environments|emergency=mountain_rescue|||||||
mounted ring where one can pull to open the door|door:handle=ring|||||||EquipmentProperties#door
movable obstacles|movable=no, movable=yes, obstacle:wheelchair=limited, obstacle:wheelchair=no, obstacle:wheelchair=yes|obstacle=movable|Building characteristics|Obstacles|movable|||Pathways#widthAtObstacles
movable seating places with sockets|movable=yes, seats=user defined, socket:<type>=user defined||Movables|Seatings|places with sockets|||
movement in way direction|conveying=forward|||||||
movement opposite to way direction|conveying=backward|||||||
multilayer pavement with a stone or gravel basis|surface=fine_gravel|||||||
multiple WC in toilet|toilets:num_chambers=user defined, toilets:number=user defined||Facility daily needs|Toilet / toilet compartment|description [1]|multiple WC||Restroom#toilet
name of building|building=yes, name=user defined||General building information|Formal information|name [4]|||PlaceInfo#name
name of doorway|door=yes, name=user defined||Building characteristics|Doorways|name [2]|||EquipmentProperties#door, PlaceInfo#name
name of entrance|entrance=yes, name=user defined|||||||Entrance#name, PlaceInfo#name
name of floor|level=user defined, name=user defined, ref=user defined||Building characteristics|Floor (pathway)|name [3]|||PlaceInfo#name
name of public transport station|name=user defined, public_transport=station||Way to building|Way to public transport|name of station|||PlaceInfo#name
name of rooms / venues / offices|indoor=room, name=user defined, ref=user defined, room=office||General help for orientation / Technical assistance|Rooms / venues / offices|name [5]|||PlaceInfo#name, StructuredAddress#room
name of stairs|highway=steps, name=user defined, ref=user defined, room=stairs, stairs=yes||Change Elevation|Stairs|name [1]|||PlaceInfo#name, Stairs#name
